Primary_Key;Trasect_code;Date;Year;Month;Time;Island;Site;Bioregion;Diver;Depth;Dive_duration;Transect_length;Census_duration;Current;Temperature;Distance;Thermocline_depth;Water_temp_over_therm;Water_temp_below_therm;Vis_over_therm;Vis_below_therm;SPECIES;Sex;S_less_30;S_30;S_35;S_40;S_50;S_60;S_70;S_80;S_90;S_100;S_110;S_125;S_150;S_175;S_200;S_210;S_225;S_250;S_300;S_350;S_400;S_more_400;Total;Comments;Cord1;Cord2;Cord3;Cord4
;2;20-feb-14;2014;February;11:06;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;48;2;0;C;M;;27;;15;;Hoplopagrus guentherii;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;3;20-feb-14;2014;February;11:08;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;49;2;0;C;M;;27;;15;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;3;20-feb-14;2014;February;11:08;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;49;2;0;C;M;;27;;15;;Lutjanus argentiventris;;;;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;
;4;20-feb-14;2014;February;11:10;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;46;2;0;C;M;;27;;15;;Lutjanus argentiventris;;;;;;5;4;4;;;;;;;;;;;;;;;;;;;;;
;5;20-feb-14;2014;February;11:12;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;51;2;0;C;M;;27;;15;;Lutjanus argentiventris;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;
;6;20-feb-14;2014;February;11:15;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;51;2;0;C;M;;27;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;20-feb-14;2014;February;11:18;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;59;2;0;C;M;;27;;15;;Dasyatis longus;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
;7;20-feb-14;2014;February;11:18;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;59;2;0;C;M;;27;;15;;Lutjanus argentiventris;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;8;20-feb-14;2014;February;11:20;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;52;2;0;C;M;;27;;15;;Mycteroperca olfax;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
;9;20-feb-14;2014;February;11:23;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;53;2;0;C;M;;27;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;20-feb-14;2014;February;11:25;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;52;2;0;C;M;;27;;15;;Seriola rivoliana;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;20-feb-14;2014;February;11:25;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;52;2;0;C;M;;27;;15;;Lutjanus argentiventris;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;
;10;20-feb-14;2014;February;11:25;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;52;2;0;C;M;;27;;15;;Triaenodon obesus;hembra;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
;11;20-feb-14;2014;February;11:28;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;59;2;0;C;M;;27;;15;;Lutjanus argentiventris;;;;;5;2;1;;;;;;;;;;;;;;;;;;;;;;
;11;20-feb-14;2014;February;11:28;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;59;2;0;C;M;;27;;15;;Hoplopagrus guentherii;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;12;20-feb-14;2014;February;11:30;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;57;2;0;C;M;;27;;15;;Lutjanus argentiventris;;;;;5;6;;4;;;;;;;;;;;;;;;;;;;;;
;13;20-feb-14;2014;February;11:33;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;56;2;0;C;M;;27;;15;;Lutjanus argentiventris;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;
;1;20-feb-14;2014;February;14:40;Marchena;Punta Calle;Norte;David Acuña;16;25;40;2;1;C;M;;24;;12;;Mycteroperca olfax;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
;2;20-feb-14;2014;February;14:42;Marchena;Punta Calle;Norte;David Acuña;16;25;45;2;1;C;M;;24;;12;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;3;20-feb-14;2014;February;14:44;Marchena;Punta Calle;Norte;David Acuña;16;25;45;2;1;C;M;;24;;12;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
