Primary_Key;Trasect_code;Date;Year;Month;Time;Island;Site;Bioregion;Diver;Depth;Dive_duration;Transect_length;Census_duration;Current;Temperature;Distance;Thermocline_depth;Water_temp_over_therm;Water_temp_below_therm;Vis_over_therm;Vis_below_therm;Habitat_type_RSM;Rugosity_0_3;Inclination_0_3;Rocky_reef_max_depth;SPECIES;Sex;S_less_30;S_30;S_35;S_40;S_50;S_60;S_70;S_80;S_90;S_100;S_110;S_125;S_150;S_175;S_200;S_210;S_225;S_250;S_300;S_350;S_400;S_more_400;Total;Comments;Cord1;Cord2
;3;01-mar-14;2014;March;06:56:30;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;50;2;0;C;M;;27;;20;;R;3;1;;Myvteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;3;01-mar-14;2014;March;06:56:30;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;50;2;0;C;M;;27;;20;;R;3;1;;Lutjanus argentiventris;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;4;01-mar-14;2014;March;06:58:45;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;44;2;0;C;M;;27;;20;;R;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;01-mar-14;2014;March;07:01:00;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;42;2;0;C;M;;27;;20;;R;3;1;;Lutjanus novemfasciatus;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;5;01-mar-14;2014;March;07:01:00;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;42;2;0;C;M;;27;;20;;R;3;1;;Lutjanus argentiventris;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;5;01-mar-14;2014;March;07:01:00;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;42;2;0;C;M;;27;;20;;R;3;1;;Mycteroperca olfax;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;6;01-mar-14;2014;March;07:03:15;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;46;2;0;C;M;;27;;20;;R;3;1;;Lutjanus novemfasciatus;;;;;;2;3;;;;;;;;;;;;;;;;;;;;
;6;01-mar-14;2014;March;07:03:15;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;46;2;0;C;M;;27;;20;;R;3;1;;Lutjanus argentiventris;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;7;01-mar-14;2014;March;07:05:30;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;36;2;0;C;M;;27;;20;;R;3;1;;Lutjanus novemfasciatus;;;;;;4;2;;;;;;;;;;;;;;;;;;;;
;7;01-mar-14;2014;March;07:05:30;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;36;2;0;C;M;;27;;20;;R;3;1;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;8;01-mar-14;2014;March;07:07:45;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;44;2;0;C;M;;27;;20;;R;3;1;;Lutjanus argentiventris;;;;;;3;;;;;;;;;;;;;;;;;;;;;
;9;01-mar-14;2014;March;07:10:00;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;43;2;0;C;M;;27;;20;;R;3;1;;Lutjanus novemfasciatus;;;;;;5;3;1;;;;;;;;;;;;;;;;;;;
;10;01-mar-14;2014;March;07:12:15;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;46;2;0;C;M;;27;;20;;R;3;1;;Lutjanus argentiventris;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;10;01-mar-14;2014;March;07:12:15;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;46;2;0;C;M;;27;;20;;R;3;1;;Lutjanus novemfasciatus;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;11;01-mar-14;2014;March;07:14:30;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;53;2;0;C;M;;27;;20;;R;3;1;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;11;01-mar-14;2014;March;07:14:30;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;53;2;0;C;M;;27;;20;;R;3;1;;Taeniura meyeni;hembra;;;;;;;;1;;;;;;;;;;;;;;;;;;
;12;01-mar-14;2014;March;07:16:45;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;39;2;0;C;M;;27;;20;;R;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13;01-mar-14;2014;March;07:19:00;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;42;2;0;C;M;;27;;20;;R;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;14;01-mar-14;2014;March;07:21:15;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;34;2;0;C;M;;27;;20;;R;3;1;;Triaenodon obesus;hembra;;;;;;;;;;;;1;;;;;;;;;;;;;;
;15;01-mar-14;2014;March;07:23:30;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;35;2;0;C;M;;27;;20;;R;3;1;;Triaenodon obesus;macho;;;;;;;;;;;;1;;;;;;;;;;;;;;
;15;01-mar-14;2014;March;07:23:30;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;35;2;0;C;M;;27;;20;;R;3;1;;Triaenodon obesus;hembra;;;;;;;;;;;;1;;;;;;;;;;;;;;
;1;01-mar-14;2014;March;09:46:45;Isabela;Isabela Este 5;Centro-sur;Tyler Eddy;19;30;30;2;1;C;M;;28;;15;;R;1;3;;Lutjanus novemfasciatus;;;;;;1;1;;;;;;;;;;;;;;;;;;;;
;1;01-mar-14;2014;March;09:46:45;Isabela;Isabela Este 5;Centro-sur;Tyler Eddy;19;30;30;2;1;C;M;;28;;15;;R;1;3;;Lutjanus argentiventris;;;;1;;1;3;;;;;;;;;;;;;;;;;;;;
;1;01-mar-14;2014;March;09:46:45;Isabela;Isabela Este 5;Centro-sur;Tyler Eddy;19;30;30;2;1;C;M;;28;;15;;R;1;3;;Myvteroperca olfax;;;;;;;2;;;;;;;;;;;;;;;;;;;;
;2;01-mar-14;2014;March;09:49:00;Isabela;Isabela Este 5;Centro-sur;Tyler Eddy;16;30;55;2;1;C;M;;28;;15;;R;1;3;;Myvteroperca olfax;;;;;;3;;;;;;;;;;;;;;;;;;;;;
;2;01-mar-14;2014;March;09:49:00;Isabela;Isabela Este 5;Centro-sur;Tyler Eddy;16;30;55;2;1;C;M;;28;;15;;R;1;3;;Lutjanus novemfasciatus;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;2;01-mar-14;2014;March;09:49:00;Isabela;Isabela Este 5;Centro-sur;Tyler Eddy;16;30;55;2;1;C;M;;28;;15;;R;1;3;;Lutjanus argentiventris;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;
;3;01-mar-14;2014;March;09:51:15;Isabela;Isabela Este 5;Centro-sur;Tyler Eddy;16;30;56;2;1;C;M;;28;;15;;R;1;3;;Myvteroperca olfax;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;
;3;01-mar-14;2014;March;09:51:15;Isabela;Isabela Este 5;Centro-sur;Tyler Eddy;16;30;56;2;1;C;M;;28;;15;;R;1;3;;Lutjanus novemfasciatus;;;;;;1;;;;;;;;;;;;;;;;;;;;;
